id,budget,revenue
550,63000000,100853753
551,5000000,84563118
553,10000000,16680836
557,139000000,821708551
558,200000000,783766341
559,258000000,890871626
561,100000000,230884728
562,28000000,140767956
563,105000000,121214377
564,80000000,415885488
565,48000000,249348933
567,1000000,37034514
568,52000000,355237933
571,2500000,11500000
573,3500000,12600000
574,2500000,10250000
576,6244087,638641
577,20000000,21284514
578,7000000,470653000
579,20000000,187884007
580,23000000,51881013
581,22000000,424208848
582,2000000,70000000
583,4000000,20745728
584,76000000,236350661
585,115000000,579707738
586,15000000,64256513
587,70000000,123218424
588,50000000,100605135
590,25000000,41597830
591,125000000,767820459
592,1600000,4420000
594,60000000,219417255
595,2000000,13129846
596,800000,1591000
597,200000000,2187463944
598,3300000,30641770
599,1752000,5000000
600,30000000,46357676
601,10500000,792965500
602,75000000,817400891
603,63000000,463517383
604,150000000,738599701
605,150000000,424988211
606,31000000,128499205
607,90000000,589390539
608,140000000,445135288
609,10700000,122200000
612,70000000,130982129
613,18339750,92180910
615,30000000,611899420
616,140000000,456758981
617,20000000,67200000
618,100000,11000000
619,25000000,411006740
620,30000000,296187079
621,6000000,181813770
622,38000000,58401898
623,7500000,62493712
624,360000,60000000
625,14400000,34700291
627,4000000,16491080
628,60000000,223664608
629,6000000,23341568
630,2777000,33754967
634,25000000,281929795
635,17000000,17185632
636,777000,2437000
637,20000000,230098753
638,15000000,3675201
639,16000000,92823546
640,52000000,352114312
641,4500000,7390108
642,6000000,102308889
644,100000000,235926552
646,950000,59600000
650,6500000,57504069
651,3500000,81600000
652,175000000,497409852
654,910000,9600000
655,1746964,2181987
657,2000000,78898765
658,2500000,124881062
660,5500000,141195658
663,10000000,139352633
664,92000000,494471524
665,15000000,164000000
666,2900000,5596708
667,9500000,111584787
668,6500000,81974493
670,3000000,15194593
671,125000000,976475550
672,100000000,876688482
673,130000000,789804554
674,150000000,895921036
675,150000000,938212738
676,140000000,449220945
679,18500000,183316455
680,8000000,214179088
681,7200000,116019547
682,7000000,97572000
686,90000000,171120329
687,11000000,39363635
688,24000000,182016617
691,14000000,185438673
692,12000,6000000
693,80000000,516642939
694,19000000,44781695
696,9000000,39946780
698,34000000,210308099
699,28000000,195312802
700,27500000,187500000
702,1800000,8000000
703,4000000,38251425
704,560000,2360561
705,1400000,8400000
707,30000000,152427960
708,40000000,191185897
709,32000000,156167015
710,58000000,352194034
711,43000000,80049764
712,4400000,245700832
713,7000000,40185556
714,110000000,333011068
744,15000000,356830601
745,40000000,672806292
746,23000000,43984230
747,6100000,30097092
752,54000000,132511035
754,80000000,245676146
755,19000000,25836616
756,2280000,76411819
759,2300000,5300000
762,400000,1940906
763,3000000,242623
764,350000,29400000
765,3500000,10900000
766,11000000,21502976
767,250000000,933959197
768,35000000,74558115
769,25000000,46835000
770,4000000,402352579
771,18000000,476684675
772,18000000,358994850
773,8000000,100523181
782,36000000,12532777
783,22000000,77737889
784,1031764,7566841
786,60000000,47386287
787,110000000,487287646
788,25000000,441286195
790,1000000,21378361
791,18000000,46201432
792,6000000,138530565
793,6000000,8618766
794,2800000,60922980
795,55000000,198685114
796,10500000,76347426
801,13000000,123922370
802,2000000,9250000
804,1500000,12000000
805,3200000,33395426
806,25000000,119188334
807,33000000,327311859
808,60000000,487853320
809,150000000,928760770
810,160000000,813367380
812,28000000,504050219
813,3500000,83453539
814,10000000,31973249
816,16500000,67683989
817,33000000,312016858
818,63000000,296655431
819,44000000,165615285
820,40000000,205405498
821,3000000,10000000
824,52500000,179213434
825,20000000,3970078
826,3000000,44908000
828,995000,1850000
829,6000000,30000000
830,1900000,3250000
831,800000,1700000
834,50000000,111476513
837,5952000,2120439
838,777000,140000000
840,20000000,306889114
841,40000000,30925690
843,150000,12854953
844,12000000,19271312
845,1200000,7000000
846,66000000,189198313
847,35000000,57269863
848,18000000,14110013
849,27000000,16519460
850,3300000,20653717
853,68000000,96976270
854,23000000,351583407
855,92000000,172989651
856,70000000,329803958
